id,cliente_id,data,valor,moeda,suspeita
500001,83637,2025-04-17,622.94,USD,1
500002,24905,2025-03-21,2052.2,EUR,1
500003,82769,2025-03-27,769.08,USD,1
500004,95353,2025-04-01,26.84,USD,1
500005,60956,2025-04-16,1561.47,BRL,0
500006,98194,2025-03-24,3286.73,EUR,1
500007,78148,2025-04-09,4062.91,EUR,1
500008,25829,2025-03-26,1357.46,USD,1
500009,74432,2025-03-21,4916.06,USD,1
500010,74484,2025-03-20,1342.0,EUR,1
500011,1765,2025-04-07,1904.57,BRL,0
500012,10652,2025-04-04,4538.2,BRL,1
500013,33387,2025-04-17,481.82,USD,1
500014,74296,2025-03-25,1121.33,BRL,0
500015,25543,2025-04-02,3697.93,EUR,1
500016,64810,2025-04-04,4048.28,BRL,1
500017,46309,2025-03-24,832.69,BRL,0
500018,64083,2025-04-16,2508.65,EUR,1
500019,58948,2025-04-03,2260.19,USD,1
500020,6611,2025-03-26,1742.24,EUR,1
500021,57911,2025-04-02,697.47,USD,1
500022,3069,2025-03-30,4844.53,USD,1
500023,22617,2025-03-27,4104.62,BRL,1
500024,6795,2025-04-19,2281.32,EUR,1
500025,94688,2025-04-13,2224.75,BRL,1
500026,3219,2025-04-16,2921.15,BRL,0
500027,49638,2025-04-13,3976.99,USD,1
500028,53689,2025-04-15,2422.03,EUR,1
500029,14927,2025-03-20,3283.22,BRL,1
500030,14222,2025-04-06,2214.87,BRL,1
500031,15181,2025-04-14,2111.15,BRL,0
500032,45032,2025-03-25,1174.86,USD,1
500033,84090,2025-04-04,3456.23,BRL,1
500034,14685,2025-04-06,1480.53,EUR,1
500035,79236,2025-04-13,1578.35,USD,1
500036,57787,2025-03-20,3679.84,EUR,1
500037,50803,2025-04-14,1126.81,BRL,0
500038,77697,2025-04-18,3884.43,BRL,1
500039,61134,2025-04-11,206.18,BRL,0
500040,66911,2025-03-25,89.99,USD,1
500041,92598,2025-04-09,537.13,USD,1
500042,23704,2025-03-27,3439.26,EUR,1
500043,83258,2025-04-04,1649.18,USD,1
500044,11958,2025-04-17,586.96,USD,1
500045,33517,2025-04-16,1211.35,BRL,0
500046,82895,2025-03-28,2326.05,EUR,1
500047,1592,2025-04-19,4978.28,EUR,1
500048,10524,2025-04-10,2784.35,BRL,0
500049,52550,2025-03-24,1751.75,BRL,0
500050,19977,2025-04-02,1102.34,BRL,0
500051,78659,2025-04-12,3248.15,EUR,1
500052,74985,2025-04-12,4035.34,USD,1
500053,89333,2025-04-02,781.62,BRL,0
500054,7867,2025-04-08,1848.31,BRL,0
500055,62221,2025-03-30,2676.7,BRL,1
500056,99069,2025-03-25,365.52,USD,1
500057,33888,2025-03-22,2104.73,USD,1
500058,34139,2025-03-30,2091.62,USD,1
500059,22249,2025-04-04,1665.05,BRL,0
500060,28727,2025-03-30,3798.38,BRL,1
500061,86253,2025-04-06,4866.93,USD,1
500062,28108,2025-04-07,41.03,BRL,0
500063,92892,2025-03-23,2658.54,EUR,1
500064,604,2025-03-20,4231.91,EUR,1
500065,49610,2025-03-23,3585.55,BRL,1
500066,83117,2025-04-15,2811.98,USD,1
500067,2966,2025-04-07,2282.58,EUR,1
500068,45618,2025-04-08,4668.74,BRL,1
500069,40339,2025-03-24,895.52,EUR,1
500070,35313,2025-04-05,458.96,BRL,1
500071,53744,2025-03-28,508.26,BRL,0
500072,61854,2025-04-10,3092.23,BRL,1
500073,7495,2025-04-19,258.32,USD,1
500074,58956,2025-04-06,4906.49,EUR,1
500075,23367,2025-03-28,2983.09,EUR,1
500076,26519,2025-03-21,1568.81,BRL,0
500077,51612,2025-03-28,3497.64,USD,1
500078,99256,2025-04-01,1205.25,USD,1
500079,56608,2025-03-24,4528.12,USD,1
500080,14145,2025-04-06,2521.54,USD,1
500081,39758,2025-04-19,4668.35,EUR,1
500082,21618,2025-03-25,294.62,EUR,1
500083,13449,2025-04-14,1647.59,EUR,1
500084,65784,2025-04-19,131.61,EUR,1
500085,69197,2025-04-03,1491.37,EUR,1
500086,67242,2025-03-23,1453.13,EUR,1
500087,6329,2025-04-18,775.05,USD,1
500088,72793,2025-04-07,1680.13,USD,1
500089,56084,2025-04-06,4478.0,BRL,1
500090,75882,2025-04-14,4582.15,EUR,1
500091,80740,2025-04-14,4202.13,BRL,1
500092,73688,2025-03-24,4423.43,USD,1
500093,92118,2025-04-01,157.69,USD,1
500094,69870,2025-03-21,1007.91,BRL,0
500095,81739,2025-03-27,1755.91,USD,1
500096,36061,2025-04-11,465.25,USD,1
500097,33085,2025-04-18,3861.58,BRL,1
500098,7126,2025-04-16,3107.63,EUR,1
500099,68962,2025-03-31,3255.86,EUR,1
500100,69165,2025-04-13,1323.11,EUR,1
500101,13260,2025-03-28,4083.6,BRL,1
500102,50911,2025-03-26,640.78,USD,1
500103,47785,2025-04-11,1178.81,EUR,1
500104,68247,2025-04-11,1661.42,USD,1
500105,25709,2025-03-31,3760.55,EUR,1
500106,87052,2025-04-16,2325.41,USD,1
500107,8787,2025-04-08,3664.49,BRL,1
500108,70709,2025-03-31,4989.18,BRL,1
500109,49425,2025-04-13,1761.27,BRL,1
500110,35833,2025-04-06,4513.46,BRL,1
500111,2486,2025-03-30,3023.79,USD,1
500112,41024,2025-04-12,480.44,USD,1
500113,46125,2025-04-17,4163.29,USD,1
500114,10199,2025-04-04,1094.27,USD,1
500115,8241,2025-04-13,3217.33,BRL,1
500116,34452,2025-03-23,1401.81,USD,1
500117,2304,2025-04-17,3695.71,BRL,1
500118,6182,2025-03-27,73.17,EUR,1
500119,3533,2025-04-16,4879.25,BRL,1
500120,12171,2025-04-17,196.79,EUR,1
500121,71945,2025-03-20,636.23,USD,1
500122,20394,2025-04-12,3636.02,EUR,1
500123,8850,2025-03-28,1310.88,USD,1
500124,38902,2025-04-14,4694.1,BRL,1
500125,71198,2025-04-05,2896.49,EUR,1
500126,74779,2025-04-06,775.5,BRL,1
500127,5111,2025-03-22,2427.96,EUR,1
500128,30489,2025-04-09,1325.81,BRL,0
500129,27879,2025-04-05,4754.97,EUR,1
500130,58983,2025-04-04,563.69,USD,1
500131,82534,2025-04-09,2778.86,BRL,0
500132,16030,2025-04-05,448.97,BRL,1
500133,11356,2025-03-25,3689.17,USD,1
500134,69535,2025-03-28,2016.03,EUR,1
500135,7565,2025-04-18,3692.02,BRL,1
500136,87561,2025-03-26,3219.1,EUR,1
500137,37181,2025-04-07,3883.11,BRL,1
500138,8277,2025-04-12,4181.64,BRL,1
500139,92160,2025-03-27,4995.95,USD,1
500140,46918,2025-04-14,3429.84,EUR,1
500141,25391,2025-04-01,765.84,EUR,1
500142,48153,2025-04-11,86.14,EUR,1
500143,53696,2025-04-01,4949.79,EUR,1
500144,62342,2025-04-06,1785.87,USD,1
500145,1337,2025-03-27,1046.91,USD,1
500146,39616,2025-03-26,2830.76,USD,1
500147,48589,2025-03-21,2196.32,BRL,0
500148,67393,2025-04-02,2090.13,BRL,0
500149,67196,2025-04-12,3438.61,USD,1
500150,38076,2025-04-06,2583.92,USD,1
500151,74927,2025-04-08,3603.88,BRL,1
500152,11428,2025-03-31,4220.66,EUR,1
500153,92964,2025-03-20,4610.5,BRL,1
500154,45564,2025-03-25,3013.14,EUR,1
500155,32287,2025-03-31,2875.1,USD,1
500156,22729,2025-04-06,4428.16,USD,1
500157,49029,2025-04-11,60.67,USD,1
500158,92145,2025-03-28,85.74,BRL,0
500159,38068,2025-04-08,3622.29,USD,1
500160,9897,2025-03-28,2387.45,USD,1
500161,17031,2025-04-17,3663.59,EUR,1
500162,94034,2025-04-04,456.54,EUR,1
500163,55744,2025-03-26,2762.65,USD,1
500164,77132,2025-04-02,511.04,USD,1
500165,64348,2025-04-12,1603.09,BRL,1
500166,13348,2025-04-15,4005.2,EUR,1
500167,4339,2025-04-16,671.0,EUR,1
500168,68905,2025-03-22,1802.26,EUR,1
500169,41550,2025-04-03,4433.56,USD,1
500170,55098,2025-03-24,4738.5,BRL,1
500171,73597,2025-04-13,4893.07,BRL,1
500172,33119,2025-04-16,3775.94,USD,1
500173,19844,2025-03-22,4636.53,EUR,1
500174,54129,2025-04-04,2335.17,BRL,0
500175,69076,2025-04-06,4748.63,EUR,1
500176,92026,2025-04-18,854.5,BRL,0
500177,30074,2025-04-08,532.8,BRL,0
500178,60336,2025-04-05,3008.84,USD,1
500179,85662,2025-04-06,3769.12,USD,1
500180,11873,2025-04-14,2956.73,EUR,1
500181,67067,2025-04-16,4114.72,USD,1
500182,30877,2025-04-10,3825.02,BRL,1
500183,62269,2025-04-13,3110.18,EUR,1
500184,32962,2025-03-21,4809.4,EUR,1
500185,33905,2025-04-17,4254.71,BRL,1
500186,71240,2025-03-29,1515.68,BRL,1
500187,65780,2025-03-26,2891.8,EUR,1
500188,3537,2025-04-09,1288.29,EUR,1
500189,35952,2025-03-20,2822.22,BRL,0
500190,74404,2025-04-01,3593.85,BRL,1
500191,98994,2025-04-04,3830.43,USD,1
500192,20261,2025-04-07,4737.44,BRL,1
500193,91440,2025-04-10,399.12,BRL,0
500194,96000,2025-04-06,2788.84,EUR,1
500195,82478,2025-03-22,2515.11,BRL,1
500196,37527,2025-03-20,2714.47,EUR,1
500197,93571,2025-04-03,521.6,BRL,0
500198,58933,2025-03-20,4995.99,USD,1
500199,27012,2025-04-04,2655.36,BRL,0
500200,66311,2025-04-12,1848.33,USD,1
500201,52355,2025-03-29,1553.44,USD,1
500202,9776,2025-04-10,4933.7,EUR,1
500203,71417,2025-04-15,4804.02,EUR,1
500204,42207,2025-03-26,261.9,EUR,1
500205,69833,2025-04-02,2152.88,BRL,0
500206,57151,2025-04-12,3883.58,BRL,1
500207,76124,2025-04-14,4723.64,EUR,1
500208,84626,2025-04-12,1108.2,USD,1
500209,72533,2025-04-08,1680.38,USD,1
