id,cliente_id,data,valor,moeda
550001,12,2025-03-28,215.39,EUR
550002,63,2025-04-04,3562.65,EUR
550003,25,2025-03-25,4145.18,EUR
550004,84,2025-04-12,2928.9,BRL
550005,77,2025-04-08,2478.1,BRL
550006,59,2025-04-12,2561.84,BRL
550007,50,2025-04-22,2319.47,EUR
550008,66,2025-04-18,3805.28,USD
550009,29,2025-04-16,1146.71,BRL
550010,25,2025-04-13,2941.33,USD
550011,96,2025-03-26,2821.42,BRL
550012,15,2025-03-29,1620.93,USD
550013,19,2025-03-27,2517.06,EUR
550014,77,2025-04-08,3222.35,USD
550015,38,2025-04-05,602.35,BRL
550016,97,2025-04-12,2761.95,BRL
550017,35,2025-04-02,2476.85,USD
550018,71,2025-03-31,3116.52,EUR
550019,58,2025-04-18,3347.36,USD
550020,84,2025-03-29,4589.16,BRL
550021,69,2025-03-26,467.41,USD
550022,25,2025-04-20,3029.59,EUR
550023,21,2025-04-04,2752.33,USD
550024,37,2025-04-17,3954.5,BRL
550025,89,2025-03-29,3377.93,BRL
550026,41,2025-03-30,2011.26,EUR
550027,85,2025-04-12,1771.99,BRL
550028,11,2025-03-28,4184.31,BRL
550029,18,2025-03-31,3287.2,EUR
550030,7,2025-04-04,4095.19,EUR
550031,0,2025-04-04,3308.05,USD
550032,7,2025-03-28,4517.75,USD
550033,69,2025-04-21,1946.34,BRL
550034,3,2025-04-11,3174.45,USD
550035,30,2025-03-23,51.61,USD
550036,75,2025-04-01,3832.56,USD
550037,22,2025-04-02,719.29,EUR
550038,66,2025-04-03,179.12,USD
550039,75,2025-04-11,4092.94,USD
550040,30,2025-04-15,2625.21,EUR
550041,4,2025-03-31,4994.74,USD
550042,24,2025-03-29,118.38,USD
550043,60,2025-04-17,2227.67,EUR
550044,77,2025-04-09,1797.04,BRL
550045,86,2025-04-19,24.54,BRL
550046,62,2025-04-16,1068.8,EUR
550047,77,2025-04-16,820.23,EUR
550048,55,2025-04-06,1004.38,BRL
550049,44,2025-03-31,521.44,EUR
550050,73,2025-04-02,4598.33,USD
550051,85,2025-03-25,2860.84,USD
550052,69,2025-03-25,2399.05,BRL
550053,77,2025-04-17,49.27,USD
550054,33,2025-04-09,40.3,BRL
550055,11,2025-04-04,4052.79,EUR
550056,95,2025-04-18,1098.46,BRL
550057,31,2025-04-14,4617.78,BRL
550058,8,2025-04-07,2343.93,USD
550059,60,2025-04-22,4532.62,USD
550060,60,2025-04-03,3312.21,BRL
550061,45,2025-03-27,3545.16,BRL
550062,5,2025-04-12,102.81,EUR
550063,43,2025-04-08,3388.88,USD
550064,55,2025-04-11,1048.06,BRL
550065,13,2025-04-11,1559.18,BRL
550066,99,2025-04-07,4494.03,USD
550067,65,2025-04-09,764.3,BRL
550068,40,2025-04-19,3824.02,BRL
550069,82,2025-03-30,3774.76,BRL
550070,4,2025-04-21,3097.81,BRL
550071,14,2025-04-17,2757.9,USD
550072,41,2025-04-18,4043.91,BRL
550073,95,2025-04-11,4658.11,USD
550074,63,2025-04-18,2976.05,USD
550075,12,2025-03-30,698.27,EUR
550076,26,2025-04-07,4176.98,USD
550077,32,2025-04-19,2208.06,USD
550078,15,2025-04-09,3343.46,USD
550079,41,2025-03-24,338.81,EUR
550080,6,2025-04-19,3942.59,BRL
550081,18,2025-04-02,3512.54,BRL
550082,92,2025-04-15,4317.1,EUR
550083,97,2025-03-27,2548.25,EUR
550084,84,2025-03-23,3240.96,EUR
550085,81,2025-03-29,2910.55,BRL
550086,31,2025-03-25,1393.9,USD
550087,25,2025-04-16,2430.48,EUR
550088,76,2025-03-28,3918.01,EUR
550089,0,2025-04-22,1566.31,USD
550090,2,2025-04-22,3728.8,EUR
550091,85,2025-04-17,590.55,EUR
550092,22,2025-04-02,949.53,BRL
550093,3,2025-04-16,639.79,EUR
550094,46,2025-03-23,2664.1,EUR
550095,8,2025-04-13,2268.29,USD
550096,54,2025-04-22,787.58,EUR
550097,7,2025-03-28,1173.24,EUR
550098,15,2025-04-07,1820.31,BRL
550099,9,2025-04-21,1482.89,BRL
550100,92,2025-04-17,4738.45,BRL
550101,36,2025-04-04,1649.72,EUR
550102,70,2025-04-08,1193.97,BRL
550103,6,2025-03-29,598.47,USD
550104,37,2025-04-18,2551.63,BRL
550105,12,2025-04-13,1992.94,EUR
550106,14,2025-04-21,964.62,EUR
550107,36,2025-04-19,4887.53,USD
550108,7,2025-04-04,255.74,BRL
550109,58,2025-04-02,1034.71,USD
550110,74,2025-03-23,3148.78,BRL
550111,19,2025-04-18,550.02,BRL
550112,87,2025-04-20,2911.64,BRL
550113,68,2025-04-05,4215.64,USD
550114,15,2025-03-29,2264.48,USD
550115,49,2025-04-06,1978.3,BRL
550116,98,2025-04-07,1365.02,BRL
550117,30,2025-03-27,170.91,USD
550118,22,2025-04-13,1111.79,USD
550119,55,2025-04-20,969.31,EUR
550120,32,2025-04-04,3298.29,EUR
550121,89,2025-04-18,2063.14,BRL
550122,45,2025-03-30,468.26,EUR
550123,61,2025-04-03,900.46,EUR
550124,11,2025-04-08,4828.94,USD
550125,8,2025-04-01,3744.44,EUR
550126,50,2025-04-17,1851.12,EUR
550127,3,2025-04-08,3357.74,USD
550128,29,2025-04-14,4747.68,BRL
550129,67,2025-03-30,2551.6,BRL
550130,27,2025-04-11,4044.91,USD
550131,28,2025-04-16,4050.94,EUR
550132,85,2025-04-19,2317.07,BRL
550133,51,2025-04-13,1671.4,EUR
550134,77,2025-04-18,2100.63,USD
550135,90,2025-04-14,938.5,EUR
550136,42,2025-04-05,3568.32,EUR
550137,77,2025-04-22,4630.84,EUR
550138,9,2025-04-07,184.71,USD
550139,21,2025-04-01,72.44,USD
550140,70,2025-04-10,3845.84,USD
550141,1,2025-04-07,2856.0,BRL
550142,99,2025-04-09,1627.1,EUR
550143,19,2025-04-22,145.41,BRL
550144,64,2025-04-16,3922.35,BRL
550145,92,2025-03-25,4008.42,USD
550146,54,2025-04-09,4755.14,BRL
550147,5,2025-04-04,1850.6,USD
550148,21,2025-04-11,1760.75,USD
550149,14,2025-04-19,581.12,EUR
550150,87,2025-03-27,3735.25,EUR
550151,28,2025-04-20,4711.54,EUR
550152,74,2025-03-24,4345.21,EUR
550153,61,2025-04-21,1948.58,EUR
550154,82,2025-03-28,3277.16,USD
550155,66,2025-03-30,2451.84,EUR
550156,83,2025-04-12,4570.76,EUR
550157,68,2025-04-08,2274.96,EUR
550158,26,2025-04-20,986.44,EUR
550159,42,2025-04-16,1422.24,EUR
550160,69,2025-04-03,1239.97,BRL
550161,30,2025-03-23,4426.11,BRL
550162,60,2025-03-31,2767.05,USD
550163,2,2025-03-26,2469.94,USD
550164,17,2025-03-28,2190.26,EUR
550165,6,2025-04-20,777.09,BRL
550166,48,2025-03-26,3558.77,EUR
550167,85,2025-04-15,1216.71,USD
550168,25,2025-04-21,977.95,EUR
550169,14,2025-04-19,40.61,EUR
550170,99,2025-04-01,3482.08,USD
550171,36,2025-04-01,4247.61,BRL
550172,64,2025-03-25,3671.86,USD
550173,5,2025-04-05,3081.91,EUR
550174,22,2025-04-02,4406.08,USD
550175,26,2025-04-17,3270.64,BRL
550176,89,2025-04-21,784.8,USD
550177,56,2025-04-11,4776.48,EUR
550178,97,2025-04-13,4951.58,USD
550179,35,2025-03-28,1518.27,BRL
550180,13,2025-04-17,2384.57,USD
550181,44,2025-04-22,90.32,BRL
550182,92,2025-04-01,1035.51,EUR
550183,13,2025-03-26,2028.28,EUR
550184,43,2025-04-15,347.88,BRL
550185,38,2025-04-18,662.53,BRL
550186,89,2025-04-21,1633.95,EUR
