id,cliente_id,data,valor,moeda
550001,71,2025-03-31,2850.43,BRL
550002,22,2025-04-09,4091.75,BRL
550003,42,2025-04-09,2677.39,EUR
550004,96,2025-04-19,495.99,EUR
550005,16,2025-04-06,2216.98,USD
550006,8,2025-04-22,340.97,BRL
550007,64,2025-04-19,3601.88,USD
550008,72,2025-04-07,1330.22,BRL
550009,38,2025-04-21,4042.16,USD
550010,36,2025-04-08,3866.17,BRL
550011,83,2025-03-25,3865.19,USD
550012,1,2025-03-27,4237.55,EUR
550013,83,2025-04-22,1593.5,EUR
550014,83,2025-04-10,3360.83,BRL
550015,80,2025-03-29,3164.46,BRL
550016,10,2025-04-16,4200.84,BRL
550017,61,2025-04-16,3706.91,USD
550018,5,2025-03-28,4921.01,EUR
550019,35,2025-04-12,2851.0,USD
550020,1,2025-03-23,2836.8,BRL
550021,38,2025-04-12,1127.01,BRL
550022,52,2025-03-24,2871.53,EUR
550023,34,2025-04-09,1071.29,BRL
550024,7,2025-04-02,3869.63,USD
550025,26,2025-04-16,4659.73,USD
550026,5,2025-04-13,3622.66,USD
550027,87,2025-04-10,554.54,USD
550028,64,2025-04-20,57.56,EUR
550029,20,2025-04-15,1557.62,EUR
550030,42,2025-04-20,2134.32,EUR
550031,5,2025-04-06,2830.71,EUR
550032,62,2025-04-07,2540.57,EUR
550033,60,2025-03-24,4788.02,USD
550034,1,2025-03-27,3630.02,USD
550035,17,2025-04-12,4243.5,BRL
550036,12,2025-03-24,1885.79,USD
550037,35,2025-03-28,4026.61,USD
550038,91,2025-04-05,4990.09,USD
550039,64,2025-03-30,1111.75,USD
550040,70,2025-04-03,3011.27,BRL
550041,73,2025-04-06,237.83,EUR
550042,40,2025-04-22,4198.21,BRL
550043,61,2025-04-04,805.44,EUR
550044,99,2025-04-18,1748.77,EUR
550045,36,2025-04-13,628.82,USD
550046,48,2025-04-11,3900.24,USD
550047,57,2025-04-15,2894.31,BRL
550048,29,2025-04-18,3802.22,EUR
550049,92,2025-04-12,3094.98,BRL
550050,9,2025-04-01,1284.91,EUR
550051,76,2025-04-13,1481.91,EUR
550052,1,2025-04-05,3397.51,EUR
550053,60,2025-04-22,3866.02,EUR
550054,81,2025-04-22,1187.51,EUR
550055,77,2025-04-18,811.93,BRL
550056,87,2025-04-16,1674.08,USD
550057,86,2025-04-06,1830.29,EUR
550058,72,2025-04-08,3286.7,BRL
550059,69,2025-03-29,538.99,EUR
550060,1,2025-04-07,3941.37,EUR
550061,77,2025-04-15,1218.35,USD
550062,72,2025-04-15,126.57,EUR
550063,55,2025-03-31,4715.81,EUR
550064,70,2025-04-05,134.56,BRL
550065,30,2025-03-29,2076.89,EUR
550066,29,2025-04-15,4003.99,EUR
550067,33,2025-03-31,1736.78,EUR
550068,90,2025-04-22,1383.76,BRL
550069,40,2025-04-10,696.57,EUR
550070,2,2025-04-05,4262.06,USD
550071,78,2025-04-17,2572.49,BRL
550072,7,2025-04-20,3363.53,BRL
550073,85,2025-04-08,3262.16,EUR
550074,41,2025-04-13,2179.45,BRL
550075,23,2025-03-24,3867.2,USD
550076,71,2025-03-26,71.35,EUR
550077,67,2025-04-07,3702.38,EUR
550078,41,2025-03-31,277.75,EUR
550079,63,2025-04-05,2783.61,BRL
550080,28,2025-04-07,619.43,BRL
550081,66,2025-04-18,3590.59,USD
550082,28,2025-04-20,3704.17,USD
550083,53,2025-04-01,200.68,EUR
550084,91,2025-03-26,1040.69,BRL
550085,92,2025-03-31,3301.83,USD
550086,68,2025-03-23,3857.87,USD
550087,8,2025-04-06,1451.68,EUR
550088,25,2025-03-30,4656.05,EUR
550089,63,2025-04-06,2657.93,EUR
550090,27,2025-04-11,4965.94,BRL
550091,5,2025-04-09,1823.19,BRL
550092,35,2025-04-14,4569.51,BRL
550093,82,2025-03-30,4570.95,USD
550094,74,2025-04-18,1732.41,EUR
550095,89,2025-04-07,4003.17,BRL
550096,16,2025-04-06,604.83,EUR
550097,61,2025-04-13,1235.42,EUR
550098,2,2025-04-05,4912.1,EUR
550099,53,2025-04-15,2403.52,BRL
550100,40,2025-04-03,3734.25,BRL
550101,94,2025-04-03,148.17,EUR
550102,14,2025-03-27,2068.7,BRL
550103,37,2025-03-25,565.79,BRL
550104,57,2025-03-23,114.11,USD
550105,36,2025-04-16,3388.77,EUR
550106,53,2025-03-23,3504.45,EUR
550107,56,2025-03-28,4580.88,BRL
550108,55,2025-04-22,99.33,BRL
550109,61,2025-03-23,3994.96,EUR
550110,44,2025-04-14,2319.04,BRL
550111,37,2025-03-26,2907.61,BRL
550112,9,2025-04-20,4356.4,BRL
550113,36,2025-03-28,2438.64,EUR
550114,18,2025-03-27,2279.02,BRL
550115,75,2025-04-07,3757.71,USD
550116,32,2025-04-02,3173.85,EUR
550117,56,2025-03-30,4361.04,BRL
550118,81,2025-04-03,2916.0,BRL
550119,66,2025-04-18,546.22,BRL
550120,65,2025-04-21,1098.64,EUR
550121,71,2025-04-18,2635.9,EUR
550122,24,2025-03-25,568.12,BRL
550123,20,2025-04-06,4453.66,USD
550124,4,2025-04-21,1390.86,BRL
550125,51,2025-04-05,3611.29,EUR
550126,66,2025-04-05,1726.82,BRL
550127,45,2025-03-26,3941.99,BRL
550128,35,2025-04-01,294.48,BRL
550129,11,2025-04-12,2030.17,USD
550130,7,2025-04-02,1533.07,USD
550131,63,2025-04-14,3444.86,EUR
550132,94,2025-04-05,3407.28,BRL
550133,26,2025-04-07,2257.55,BRL
550134,27,2025-04-08,1401.19,BRL
550135,65,2025-04-02,1978.75,USD
550136,34,2025-04-22,2981.65,EUR
550137,47,2025-04-13,4764.79,BRL
